"Text","URL"
"MediaWiki 1.43.0","https://lists.wikimedia.org/hyperkitty/list/wikitech-l@lists.wikimedia.org/thread/UYZUOQEWN2NL22PU42JW7TF6JO56RWWV/"
"MediaWiki 1.41.x versions","https://lists.wikimedia.org/hyperkitty/list/mediawiki-announce@lists.wikimedia.org/thread/5NYC4UZLY3MWQZ6DYJAUQRJG2ZHZFBJ6/"
"Maintenance release: 1.39.11, 1.41.5 and 1.42.4","https://lists.wikimedia.org/hyperkitty/list/wikitech-l@lists.wikimedia.org/thread/PFTE5RHUERS6KTUGGRZO7XXV5THNJ77E/"
"More news","https://www.mediawiki.org/wiki/Special:MyLanguage/News"
"Languages:","/wiki/Special:MyLanguage/Project:Language_policy"
" ","/wiki/Project:Language_policy"
"English","/wiki/Template:Main_page"
"Afrikaans","https://www.mediawiki.org/wiki/Template:Main_page/af"
"العربية","https://www.mediawiki.org/wiki/Template:Main_page/ar"
"asturianu","https://www.mediawiki.org/wiki/Template:Main_page/ast"
"azərbaycanca","https://www.mediawiki.org/wiki/Template:Main_page/az"
"беларуская","https://www.mediawiki.org/wiki/Template:Main_page/be"
"беларуская (тарашкевіца)","https://www.mediawiki.org/wiki/Template:Main_page/be-tarask"
"български","https://www.mediawiki.org/wiki/Template:Main_page/bg"
"বাংলা","https://www.mediawiki.org/wiki/Template:Main_page/bn"
"bosanski","https://www.mediawiki.org/wiki/Template:Main_page/bs"
"català","https://www.mediawiki.org/wiki/Template:Main_page/ca"
"کوردی","https://www.mediawiki.org/wiki/Template:Main_page/ckb"
"čeština","https://www.mediawiki.org/wiki/Template:Main_page/cs"
"dansk","https://www.mediawiki.org/wiki/Template:Main_page/da"
"Deutsch","https://www.mediawiki.org/wiki/Template:Main_page/de"
"Ελληνικά","https://www.mediawiki.org/wiki/Template:Main_page/el"
"español","https://www.mediawiki.org/wiki/Template:Main_page/es"
"فارسی","https://www.mediawiki.org/wiki/Template:Main_page/fa"
"suomi","https://www.mediawiki.org/wiki/Template:Main_page/fi"
"français","https://www.mediawiki.org/wiki/Template:Main_page/fr"
"galego","https://www.mediawiki.org/wiki/Template:Main_page/gl"
"ગુજરાતી","https://www.mediawiki.org/wiki/Template:Main_page/gu"
"עברית","https://www.mediawiki.org/wiki/Template:Main_page/he"
"हिन्दी","https://www.mediawiki.org/wiki/Template:Main_page/hi"
"hrvatski","https://www.mediawiki.org/wiki/Template:Main_page/hr"
"magyar","https://www.mediawiki.org/wiki/Template:Main_page/hu"
"հայերեն","https://www.mediawiki.org/wiki/Template:Main_page/hy"
"Bahasa Indonesia","https://www.mediawiki.org/wiki/Template:Main_page/id"
"italiano","https://www.mediawiki.org/wiki/Template:Main_page/it"
"日本語","https://www.mediawiki.org/wiki/Template:Main_page/ja"
"Jawa","https://www.mediawiki.org/wiki/Template:Main_page/jv"
"қазақша","https://www.mediawiki.org/wiki/Template:Main_page/kk"
"한국어","https://www.mediawiki.org/wiki/Template:Main_page/ko"
"Bahasa Melayu","https://www.mediawiki.org/wiki/Template:Main_page/ms"
"Mirandés","https://www.mediawiki.org/wiki/Template:Main_page/mwl"
"Nederlands","https://www.mediawiki.org/wiki/Template:Main_page/nl"
"polski","https://www.mediawiki.org/wiki/Template:Main_page/pl"
"português","https://www.mediawiki.org/wiki/Template:Main_page/pt"
"português do Brasil","https://www.mediawiki.org/wiki/Template:Main_page/pt-br"
"română","https://www.mediawiki.org/wiki/Template:Main_page/ro"
"русский","https://www.mediawiki.org/wiki/Template:Main_page/ru"
"sardu","https://www.mediawiki.org/wiki/Template:Main_page/sc"
"සිංහල","https://www.mediawiki.org/wiki/Template:Main_page/si"
"slovenčina","https://www.mediawiki.org/wiki/Template:Main_page/sk"
"slovenščina","https://www.mediawiki.org/wiki/Template:Main_page/sl"
"Soomaaliga","https://www.mediawiki.org/wiki/Template:Main_page/so"
"shqip","https://www.mediawiki.org/wiki/Template:Main_page/sq"
"српски / srpski","https://www.mediawiki.org/wiki/Template:Main_page/sr"
"svenska","https://www.mediawiki.org/wiki/Template:Main_page/sv"
"ꠍꠤꠟꠐꠤ","https://www.mediawiki.org/wiki/Template:Main_page/syl"
"ไทย","https://www.mediawiki.org/wiki/Template:Main_page/th"
"Türkçe","https://www.mediawiki.org/wiki/Template:Main_page/tr"
"українська","https://www.mediawiki.org/wiki/Template:Main_page/uk"
"Tiếng Việt","https://www.mediawiki.org/wiki/Template:Main_page/vi"
"粵語","https://www.mediawiki.org/wiki/Template:Main_page/yue"
"中文","https://www.mediawiki.org/wiki/Template:Main_page/zh"
"https://www.mediawiki.org/w/index.php?title=MediaWiki&oldid=6287429","https://www.mediawiki.org/w/index.php?title=MediaWiki&oldid=6287429"
"Languages pages","/wiki/Category:Languages_pages"
"Creative Commons Attribution-ShareAlike License","https://creativecommons.org/licenses/by-sa/4.0/deed.en"
"the Help: namespace","https://www.mediawiki.org/wiki/Special:MyLanguage/Help:Contents"
"Creative Commons CC0 License","https://creativecommons.org/publicdomain/zero/1.0/"
"Terms of Use","https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Terms_of_Use"
"Privacy Policy","https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Privacy_policy"
"Privacy policy","https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Privacy_policy"
"About mediawiki.org","/wiki/Project:About"
"Disclaimers","/wiki/Project:General_disclaimer"
"Code of Conduct","https://www.mediawiki.org/wiki/Special:MyLanguage/Code_of_Conduct"
"Developers","https://developer.wikimedia.org"
"Statistics","https://stats.wikimedia.org/#/www.mediawiki.org"
"Cookie statement","https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Cookie_statement"
"Mobile view","//m.mediawiki.org/w/index.php?title=MediaWiki&mobileaction=toggle_view_mobile"
"","https://wikimediafoundation.org/"
"","https://www.mediawiki.org/"
