"Text","URL","Count"
"Terms of Use","https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Terms_of_Use",1
"MediaWiki 1.41.x versions","https://lists.wikimedia.org/hyperkitty/list/mediawiki-announce@lists.wikimedia.org/thread/5NYC4UZLY3MWQZ6DYJAUQRJG2ZHZFBJ6/",1
"Maintenance release: 1.39.11, 1.41.5 and 1.42.4","https://lists.wikimedia.org/hyperkitty/list/wikitech-l@lists.wikimedia.org/thread/PFTE5RHUERS6KTUGGRZO7XXV5THNJ77E/",1
"MediaWiki 1.43.0","https://lists.wikimedia.org/hyperkitty/list/wikitech-l@lists.wikimedia.org/thread/UYZUOQEWN2NL22PU42JW7TF6JO56RWWV/",1
"Meta-Wiki","https://meta.wikimedia.org/wiki/Main_Page",1
"Wikimedia Outreach","https://outreach.wikimedia.org/wiki/Main_Page",1
"Wikispecies","https://species.wikimedia.org/wiki/Main_Page",1
"Statistics","https://stats.wikimedia.org/#/www.mediawiki.org",1
"Tech blog","https://techblog.wikimedia.org/",1
"Wikimania","https://wikimania.wikimedia.org/wiki/Wikimania",1
"","https://wikimediafoundation.org/",1
"Multilingual Wikisource","https://wikisource.org/wiki/Main_Page",1
"","https://www.mediawiki.org/",1
"https://www.mediawiki.org/w/index.php?title=MediaWiki&oldid=6287429","https://www.mediawiki.org/w/index.php?title=MediaWiki&oldid=6287429",1
"Code of Conduct","https://www.mediawiki.org/wiki/Special:MyLanguage/Code_of_Conduct",1
"the Help: namespace","https://www.mediawiki.org/wiki/Special:MyLanguage/Help:Contents",1
"More news","https://www.mediawiki.org/wiki/Special:MyLanguage/News",1
"Afrikaans","https://www.mediawiki.org/wiki/Template:Main_page/af",1
"العربية","https://www.mediawiki.org/wiki/Template:Main_page/ar",1
"asturianu","https://www.mediawiki.org/wiki/Template:Main_page/ast",1
"azərbaycanca","https://www.mediawiki.org/wiki/Template:Main_page/az",1
"беларуская","https://www.mediawiki.org/wiki/Template:Main_page/be",1
"беларуская (тарашкевіца)","https://www.mediawiki.org/wiki/Template:Main_page/be-tarask",1
"български","https://www.mediawiki.org/wiki/Template:Main_page/bg",1
"বাংলা","https://www.mediawiki.org/wiki/Template:Main_page/bn",1
"bosanski","https://www.mediawiki.org/wiki/Template:Main_page/bs",1
"català","https://www.mediawiki.org/wiki/Template:Main_page/ca",1
"کوردی","https://www.mediawiki.org/wiki/Template:Main_page/ckb",1
"čeština","https://www.mediawiki.org/wiki/Template:Main_page/cs",1
"dansk","https://www.mediawiki.org/wiki/Template:Main_page/da",1
"Deutsch","https://www.mediawiki.org/wiki/Template:Main_page/de",1
"Ελληνικά","https://www.mediawiki.org/wiki/Template:Main_page/el",1
"español","https://www.mediawiki.org/wiki/Template:Main_page/es",1
"فارسی","https://www.mediawiki.org/wiki/Template:Main_page/fa",1
"suomi","https://www.mediawiki.org/wiki/Template:Main_page/fi",1
"français","https://www.mediawiki.org/wiki/Template:Main_page/fr",1
"galego","https://www.mediawiki.org/wiki/Template:Main_page/gl",1
"ગુજરાતી","https://www.mediawiki.org/wiki/Template:Main_page/gu",1
"עברית","https://www.mediawiki.org/wiki/Template:Main_page/he",1
"हिन्दी","https://www.mediawiki.org/wiki/Template:Main_page/hi",1
"hrvatski","https://www.mediawiki.org/wiki/Template:Main_page/hr",1
"magyar","https://www.mediawiki.org/wiki/Template:Main_page/hu",1
"հայերեն","https://www.mediawiki.org/wiki/Template:Main_page/hy",1
"Bahasa Indonesia","https://www.mediawiki.org/wiki/Template:Main_page/id",1
"italiano","https://www.mediawiki.org/wiki/Template:Main_page/it",1
"日本語","https://www.mediawiki.org/wiki/Template:Main_page/ja",1
"Jawa","https://www.mediawiki.org/wiki/Template:Main_page/jv",1
"қазақша","https://www.mediawiki.org/wiki/Template:Main_page/kk",1
"한국어","https://www.mediawiki.org/wiki/Template:Main_page/ko",1
"Bahasa Melayu","https://www.mediawiki.org/wiki/Template:Main_page/ms",1
"Mirandés","https://www.mediawiki.org/wiki/Template:Main_page/mwl",1
"Nederlands","https://www.mediawiki.org/wiki/Template:Main_page/nl",1
"polski","https://www.mediawiki.org/wiki/Template:Main_page/pl",1
"português","https://www.mediawiki.org/wiki/Template:Main_page/pt",1
"português do Brasil","https://www.mediawiki.org/wiki/Template:Main_page/pt-br",1
"română","https://www.mediawiki.org/wiki/Template:Main_page/ro",1
"русский","https://www.mediawiki.org/wiki/Template:Main_page/ru",1
"sardu","https://www.mediawiki.org/wiki/Template:Main_page/sc",1
"සිංහල","https://www.mediawiki.org/wiki/Template:Main_page/si",1
"slovenčina","https://www.mediawiki.org/wiki/Template:Main_page/sk",1
"slovenščina","https://www.mediawiki.org/wiki/Template:Main_page/sl",1
"Soomaaliga","https://www.mediawiki.org/wiki/Template:Main_page/so",1
"shqip","https://www.mediawiki.org/wiki/Template:Main_page/sq",1
"српски / srpski","https://www.mediawiki.org/wiki/Template:Main_page/sr",1
"svenska","https://www.mediawiki.org/wiki/Template:Main_page/sv",1
"ꠍꠤꠟꠐꠤ","https://www.mediawiki.org/wiki/Template:Main_page/syl",1
"ไทย","https://www.mediawiki.org/wiki/Template:Main_page/th",1
"Türkçe","https://www.mediawiki.org/wiki/Template:Main_page/tr",1
"українська","https://www.mediawiki.org/wiki/Template:Main_page/uk",1
"Tiếng Việt","https://www.mediawiki.org/wiki/Template:Main_page/vi",1
"粵語","https://www.mediawiki.org/wiki/Template:Main_page/yue",1
"中文","https://www.mediawiki.org/wiki/Template:Main_page/zh",1
"Wikidata item","https://www.wikidata.org/wiki/Special:EntityPage/Q5296",1
"Wikidata","https://www.wikidata.org/wiki/Wikidata:Main_Page",1
"Wikifunctions","https://www.wikifunctions.org/wiki/Wikifunctions:Main_Page",1
